seqid	start	stop	tir1	tir2	tsd1	tsd2	sim
NW_68286.1;;0	10878	11310	55	56	2	2	98.18
NW_68286.1;;0	19405	19888	112	109	4	4	88.29
NW_68286.1;;0	20795	21349	72	70	2	2	100.00
NW_68286.1;;0	45761	45978	44	39	4	4	95.35
NW_68287.1;;0	4516	5756	28	22	5	5	96.30
NW_68287.1;;0	15758	20286	22	21	2	2	100.00
NW_68287.1;;0	53369	53766	40	39	2	2	97.50
NW_68287.1;;0	61845	62575	161	167	2	2	98.15
NW_68287.1;;0	66641	67722	25	24	5	5	100.00
NW_68287.1;;0	94048	95028	154	158	4	4	98.06
NW_68287.1;;0	97042	99482	30	30	2	2	100.00
NW_68287.1;;0	116503	119060	20	21	2	2	100.00
NW_68287.1;;0	126895	127002	104	105	3	3	98.11
NW_68288.1;;0	4390	5405	46	43	3	3	100.00
NW_68289.1;;0	11567	16598	60	58	2	2	100.00
NW_68289.1;;0	28005	31171	66	63	3	3	100.00
NW_68289.1;;0	40500	44574	50	47	3	3	100.00
NW_68289.1;;0	61912	64505	32	28	4	4	100.00
NW_68289.1;;0	86038	88179	29	26	3	3	100.00
NW_68289.1;;0	229855	231219	40	30	10	10	100.00
NW_68289.1;;0	250874	254419	71	72	2	2	84.51
NW_68289.1;;0	257356	261081	27	28	2	2	88.89
NW_68289.1;;0	268531	269449	44	44	3	3	93.33
NW_68289.1;;0	277236	277297	58	59	3	3	96.67
NW_68289.1;;0	291207	291340	129	126	3	3	94.44
NW_68289.1;;0	300230	300424	46	43	3	3	100.00
NW_68289.1;;0	308161	308310	30	30	2	2	100.00
NW_68289.1;;0	336266	336984	241	242	3	3	95.02
NW_68289.1;;0	339182	339363	68	70	4	4	94.12
NW_68289.1;;0	348834	349042	208	204	2	2	96.62
NW_68289.1;;0	363105	363954	51	47	4	4	100.00
NW_68289.1;;0	378371	378694	30	27	2	2	93.10
NW_68289.1;;0	389834	390361	45	43	2	2	100.00
NW_68289.1;;0	396915	397654	34	36	2	2	88.24
NW_68289.1;;0	408570	408642	69	69	2	2	97.06
NW_68289.1;;0	417318	417848	21	18	3	3	100.00
NW_68289.1;;0	438896	440329	26	28	2	2	100.00
NW_68289.1;;0	451964	452097	131	130	3	3	90.15
NW_68289.1;;0	455278	460161	83	84	2	2	87.95
NW_68289.1;;0	462062	464620	30	28	2	2	100.00
NW_68290.1;;0	11866	14656	26	20	3	3	84.00
NW_68290.1;;0	30410	30887	38	34	4	4	100.00
NW_68290.1;;0	143896	144778	43	40	3	3	100.00
NW_68290.1;;0	221827	224930	23	21	4	4	100.00
NW_68290.1;;0	276252	281100	29	31	2	2	96.43
NW_68290.1;;0	299139	299292	43	42	2	2	100.00
NW_68290.1;;0	386345	390170	21	19	2	2	100.00
NW_68290.1;;0	403902	404465	25	22	3	3	100.00
NW_68290.1;;0	427149	427699	21	20	2	2	100.00
NW_68290.1;;0	459868	462554	51	48	3	3	100.00
NW_68290.1;;0	532686	533972	59	50	9	9	100.00
NW_68290.1;;0	558584	558635	49	48	2	2	95.92
NW_68290.1;;0	574308	574385	76	76	2	2	93.51
NW_68290.1;;0	586828	590993	43	42	3	3	93.18
NW_68291.1;;0	1495	1547	51	51	2	2	96.15
NW_68291.1;;0	27507	29780	46	47	2	2	91.11
NW_68291.1;;0	33873	35630	54	53	2	2	83.02
NW_68291.1;;0	39007	43275	57	52	5	5	100.00
NW_68291.1;;0	56419	61003	25	23	3	3	100.00
NW_68291.1;;0	66284	69281	111	110	2	2	90.00
NW_68291.1;;0	73567	77697	72	73	3	3	95.95
NW_68291.1;;0	90379	90594	212	213	2	2	82.08
NW_68291.1;;0	92033	95407	32	31	2	2	100.00
NW_68291.1;;0	103203	103581	69	71	3	3	91.18
NW_68291.1;;0	104794	106173	93	95	2	2	98.92
NW_68291.1;;0	115913	116158	54	47	7	7	98.11
NW_68291.1;;0	120908	124649	29	27	2	2	96.43
NW_68291.1;;0	126133	126721	38	47	2	2	89.74
NW_68291.1;;0	127511	127602	89	88	3	3	96.59
NW_68291.1;;0	145291	145448	54	52	2	2	92.45
NW_68291.1;;0	146961	147458	33	30	8	8	93.75
NW_68291.1;;0	157727	158353	26	26	2	2	100.00
NW_68291.1;;0	225642	226150	51	49	3	3	98.04
NW_68291.1;;0	235219	239706	47	43	4	4	100.00
NW_68291.1;;0	264228	264483	252	253	3	3	97.64
NW_68291.1;;0	279047	279563	78	74	2	2	96.10
NW_68291.1;;0	292135	292311	72	71	2	2	88.73
NW_68291.1;;0	298673	299041	84	82	2	2	96.39
NW_68291.1;;0	312262	312794	85	82	3	3	86.90
NW_68291.1;;0	321336	323284	47	49	2	2	100.00
NW_68291.1;;0	327171	328828	66	65	2	2	98.46
NW_68291.1;;0	339373	343635	80	79	3	3	100.00
NW_68291.1;;0	354577	354869	995	1001	2	2	93.50
NW_68291.1;;0	381558	382352	60	59	9	9	100.00
NW_68291.1;;0	404367	404639	79	86	4	4	98.72
NW_68291.1;;0	418854	421382	26	21	5	5	100.00
NW_68291.1;;0	500964	501058	28	29	2	2	96.43
NW_68291.1;;0	509128	513134	53	49	4	4	100.00
NW_68291.1;;0	528490	528635	142	143	3	3	97.22
NW_68291.1;;0	537816	539374	44	44	2	2	100.00
NW_68291.1;;0	548826	551698	91	87	3	3	94.44
NW_68291.1;;0	553163	555661	57	55	2	2	100.00
NW_68291.1;;0	596913	598790	125	129	2	2	88.71
NW_68291.1;;0	612916	612987	54	63	9	9	98.39
NW_68292.1;;0	1251	2691	38	37	3	3	100.00
NW_68292.1;;0	34236	35167	56	53	2	2	92.73
NW_68292.1;;0	44969	45803	24	27	2	2	82.61
NW_68292.1;;0	46864	50904	72	72	2	2	86.11
NW_68292.1;;0	55329	58900	47	50	7	7	100.00
NW_68292.1;;0	61060	61713	101	101	2	2	98.04
NW_68292.1;;0	69879	70344	44	41	2	2	95.35
NW_68292.1;;0	72007	75402	175	177	2	2	87.64
NW_68292.1;;0	85917	86227	37	37	2	2	88.89
NW_68292.1;;0	95285	96681	56	58	2	2	100.00
NW_68292.1;;0	105120	108489	21	26	2	2	100.00
NW_68292.1;;0	128800	128899	101	98	2	2	97.00
NW_68292.1;;0	142750	143793	22	18	4	4	100.00
NW_68292.1;;0	167193	170994	35	31	4	4	100.00
NW_68292.1;;0	246006	246058	51	51	2	2	96.15
NW_68292.1;;0	274056	278522	56	54	3	3	98.21
NW_68292.1;;0	289575	293010	41	40	2	2	97.56
NW_68292.1;;0	312348	312795	52	50	2	2	100.00
NW_68292.1;;0	319109	319227	28	28	3	3	96.43
NW_68292.1;;0	331640	331969	46	46	2	2	87.23
NW_68292.1;;0	337279	338591	122	121	3	3	95.87
NW_68292.1;;0	349958	351231	55	52	3	3	100.00
NW_68292.1;;0	393794	398911	137	142	2	2	88.97
NW_68292.1;;0	400180	400289	106	107	3	3	91.59
NW_68292.1;;0	409365	413643	36	34	2	2	100.00
NW_68292.1;;0	460667	463038	75	71	4	4	98.65
NW_68292.1;;0	477414	480300	30	27	3	3	100.00
NW_68292.1;;0	490597	494006	65	63	2	2	100.00
NW_68292.1;;0	535811	540417	98	102	2	2	95.96
NW_68292.1;;0	558204	562999	48	41	7	7	100.00
NW_68292.1;;0	584345	584630	32	30	2	2	100.00
NW_68292.1;;0	609113	609545	43	40	2	2	95.24
NW_68292.1;;0	615788	618332	23	22	2	2	95.45
NW_68292.1;;0	642884	646196	20	31	2	2	100.00
NW_68292.1;;0	652400	652574	34	34	2	2	96.97
NW_68292.1;;0	662803	665944	60	63	2	2	91.53
NW_68293.1;;0	174	752	221	211	2	2	82.73
NW_68293.1;;0	1163	1296	130	130	2	2	100.00
NW_68293.1;;0	8573	9157	42	39	2	2	100.00
NW_68293.1;;0	156180	156424	82	85	2	2	100.00
NW_68293.1;;0	218016	219042	38	36	2	2	100.00
NW_68293.1;;0	265795	266024	43	40	3	3	100.00
NW_68293.1;;0	320382	323201	46	41	5	5	100.00
NW_68293.1;;0	346789	347829	25	23	4	4	100.00
NW_68293.1;;0	387453	388137	20	17	3	3	100.00
NW_68293.1;;0	401957	402740	20	21	2	2	100.00
NW_68293.1;;0	457743	459383	28	28	3	3	100.00
NW_68293.1;;0	522430	522663	26	24	2	2	100.00
NW_68293.1;;0	531627	533759	20	15	5	5	100.00
NW_68293.1;;0	549771	550121	35	33	2	2	100.00
NW_68294.1;;0	1597	2533	20	19	2	2	100.00
NW_68294.1;;0	26070	26660	160	160	2	2	93.08
NW_68294.1;;0	30316	30701	58	57	2	2	100.00
NW_68294.1;;0	85455	87208	31	29	2	2	100.00
NW_68294.1;;0	117436	121859	20	30	2	2	100.00
NW_68295.1;;0	25	3514	34	33	2	2	81.82
NW_68295.1;;0	5567	7035	66	62	3	3	92.31
NW_68295.1;;0	7996	8327	35	32	2	2	97.06
NW_68295.1;;0	20674	24844	60	59	4	4	81.36
NW_68295.1;;0	29663	33799	69	69	2	2	92.65
NW_68295.1;;0	40292	40382	85	88	3	3	97.70
NW_68295.1;;0	54663	55492	57	57	3	3	98.25
NW_68295.1;;0	70438	73985	31	29	2	2	100.00
NW_68295.1;;0	113557	117632	30	33	4	4	96.55
NW_68295.1;;0	131107	131296	182	183	4	4	90.11
NW_68295.1;;0	135367	140330	34	32	2	2	96.97
NW_68295.1;;0	159766	163082	69	72	2	2	97.06
NW_68295.1;;0	175631	175986	45	56	3	3	93.62
NW_68295.1;;0	179169	183135	20	17	3	3	100.00
NW_68295.1;;0	201007	203689	157	153	3	3	98.72
NW_68295.1;;0	223033	223608	21	29	2	2	95.00
NW_68295.1;;0	232508	236183	91	98	2	2	93.75
NW_68295.1;;0	268083	272191	52	51	3	3	98.04
NW_68295.1;;0	281297	286531	187	190	2	2	96.77
NW_68295.1;;0	286639	286867	30	30	2	2	96.55
NW_68295.1;;0	306928	311164	42	44	3	3	97.56
NW_68295.1;;0	318704	318914	55	52	2	2	98.15
NW_68295.1;;0	329414	330734	102	101	3	3	97.03
NW_68295.1;;0	339437	343625	63	60	3	3	100.00
NW_68295.1;;0	352057	352550	61	60	3	3	100.00
NW_68295.1;;0	359499	361685	47	45	2	2	100.00
NW_68295.1;;0	377012	377536	23	21	2	2	100.00
NW_68295.1;;0	378218	378753	105	103	2	2	90.48
NW_68295.1;;0	390841	394186	59	58	2	2	100.00
NW_68295.1;;0	416007	419671	23	23	2	2	100.00
NW_68295.1;;0	475376	476194	41	43	2	2	87.80
NW_68295.1;;0	478822	479387	28	24	4	4	100.00
NW_68295.1;;0	486041	490174	66	67	3	3	95.52
NW_68295.1;;0	502494	506239	35	32	4	4	100.00
NW_68295.1;;0	509875	513296	36	34	2	2	100.00
NW_68295.1;;0	515817	519067	20	18	2	2	100.00
NW_68295.1;;0	622294	626096	35	26	9	9	100.00
NW_68295.1;;0	642578	642679	29	32	2	2	92.86
NW_68296.1;;0	3871	4110	37	43	2	2	100.00
NW_68296.1;;0	11743	16381	22	20	2	2	100.00
NW_68296.1;;0	63028	63310	28	28	9	9	96.43
NW_68296.1;;0	71453	72890	44	41	3	3	100.00
NW_68296.1;;0	93670	94211	48	46	2	2	95.74
NW_68296.1;;0	105733	110251	38	36	2	2	100.00
NW_68296.1;;0	114279	119033	20	18	4	4	100.00
NW_68296.1;;0	146303	146388	80	83	3	3	97.56
NW_68296.1;;0	157675	160413	49	47	2	2	91.67
NW_68296.1;;0	165311	165974	41	38	3	3	100.00
NW_68296.1;;0	181300	181498	195	195	4	4	94.95
NW_68296.1;;0	183495	186479	94	103	2	2	92.47
NW_68296.1;;0	187050	187185	133	128	2	2	97.66
NW_68296.1;;0	192013	193968	49	52	2	2	93.88
NW_68296.1;;0	197892	200285	100	97	2	2	96.97
NW_68296.1;;0	216216	218552	31	31	2	2	100.00
NW_68296.1;;0	246743	246912	164	166	3	3	90.30
NW_68296.1;;0	250168	250583	77	72	3	3	85.53
NW_68296.1;;0	265284	266976	75	78	2	2	98.67
NW_68296.1;;0	272141	272977	31	28	2	2	80.00
NW_68296.1;;0	281454	283549	26	23	3	3	100.00
NW_68296.1;;0	303952	307453	21	24	2	2	95.00
NW_68296.1;;0	312289	312551	20	19	4	4	100.00
NW_68296.1;;0	326621	331286	54	52	2	2	100.00
NW_68296.1;;0	340646	341786	155	154	3	3	86.36
NW_68296.1;;0	359710	359866	23	27	5	5	84.62
NW_68296.1;;0	367298	367992	34	32	2	2	100.00
NW_68296.1;;0	389937	390005	66	65	2	2	92.31
NW_68296.1;;0	396704	400292	27	29	2	2	89.29
NW_68296.1;;0	413355	417387	84	94	2	2	97.65
NW_68296.1;;0	429825	431203	23	23	2	2	100.00
NW_68296.1;;0	450657	451135	31	30	3	3	100.00
NW_68296.1;;0	469735	470593	62	61	2	2	96.77
NW_68296.1;;0	489334	492188	22	24	2	2	100.00
NW_68297.1;;0	3669	8385	33	31	4	4	100.00
NW_68297.1;;0	42857	45532	36	36	2	2	100.00
NW_68297.1;;0	62701	62956	64	61	2	2	98.41
NW_68297.1;;0	85328	86436	77	79	2	2	98.70
NW_68297.1;;0	96265	98558	35	29	5	5	97.06
NW_68298.1;;0	2562	4881	24	22	2	2	100.00
NW_68298.1;;0	35711	39800	59	60	2	2	96.55
NW_68298.1;;0	54380	54883	47	45	2	2	100.00
NW_68298.1;;0	69555	72920	28	31	2	2	100.00
NW_68298.1;;0	96068	100548	129	143	2	2	83.21
NW_68298.1;;0	118371	119193	32	31	2	2	100.00
NW_68298.1;;0	138008	139399	20	20	3	3	100.00
NW_68298.1;;0	144683	149486	36	44	2	2	85.00
NW_68299.1;;0	932	1612	119	123	2	2	95.00
NW_68300.1;;0	9015	13076	32	29	3	3	100.00
NW_68300.1;;0	14501	19191	93	95	4	4	93.48
NW_68300.1;;0	35940	37019	31	34	2	2	100.00
NW_68300.1;;0	48828	53105	27	26	4	4	100.00
NW_68300.1;;0	65906	67266	97	107	2	2	82.35
NW_68301.1;;0	3753	7912	45	42	3	3	100.00
NW_68301.1;;0	36016	37458	38	34	4	4	100.00
NW_68301.1;;0	51056	51751	42	42	2	2	100.00
NW_68301.1;;0	79132	79266	45	43	2	2	100.00
NW_68301.1;;0	92739	92825	86	83	3	3	85.06
NW_68301.1;;0	95345	95787	44	43	3	3	97.67
NW_68301.1;;0	121754	126100	32	36	3	3	100.00
NW_68301.1;;0	179565	179712	24	31	2	2	95.83
NW_68301.1;;0	194378	196036	108	109	2	2	91.67
NW_68301.1;;0	199263	201573	30	35	2	2	96.67
